market,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,tp21,tp22,tp23,tp24,tp25,tp26,tp27,tp28,tp29,tp30,tp31,tp32,tp33,tp34,tp35,tp36,tp37,tp38,tp39,tp40,tp41,tp42,tp43,tp44,tp45,tp46,tp47,tp48,LONGITUDE,LATITUDE
319003,50,50,85.98,88.02,53,65,98.98,15,47.01,76,39,72,60,74,85.02,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.01,26,14,NaN,197,16,59.01,72,91,51,96.96,91.98,79.98,87,85.98,68,91.02,47.01,88.98,91.02,105.98,94.02,108.99,45.99,85.6274039,20.1859065
319004,52,52,66,82.98,72,60,94.01,15,62,201,42,70,58,64,81,NaN,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.99,29,NaN,32,42,18,58.02,60,94.99,48,94,94.99,76.98,85.02,88.98,71,75,45.99,94.02,87,108.01,90,112,54,85.7058693,20.1703784
319005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.6332093,20.1934552
319006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.9789811,20.2224818
320001,57.4,57.4,35.52,32.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.8,117.28,86.82,121.92,30.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.92,48.8,47.28,89.7,76.5,NaN,18.7,55.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.9,82.68,91.7,56.4,NaN,NaN,82.5510469,18.8606126
320002,24.9,24.9,37.4,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.3,102.32,83.82,111.12,30.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.12,39.6,59.5,92.8,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.7,113.47,72.3,45,1.5,3.5,82.318057,19.1404296
320003,10,10,12,32.01,44,63,15,23,15,27,30,14.01,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,33,42,18,40,20.01,37,NaN,15,NaN,82.7123327,18.813487
320004,15,15,12,NaN,NaN,35,40,12,15,60,12,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.99,20,8,9,26.01,25,9,NaN,NaN,82.850778,18.7111699
321001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.9534815,18.1640803
321002,1.2,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,50,60,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.9698456,18.2883973
